postal_code,property_count,avg_price_m2,longitude,latitude
1000,162,4062.261549916272,4.351697,50.8465573
1020,60,2931.7647434883656,4.3487134,50.883392
1030,128,3004.1796583630585,4.3737121,50.8676041
1040,40,4306.156901158672,4.3895104,50.8368511
1050,137,4622.319979849872,4.3815707,50.8222854
1060,52,3504.146315153626,4.345668,50.8267409
1070,158,2738.5273966237382,4.3123401,50.8381411
1080,114,2573.82831157958,4.3227779,50.8543551
1081,24,2726.3992545737265,4.3257084,50.8622633
1082,28,2722.2828691164605,4.292702,50.8639835
1083,41,2719.96900890252,4.3175103,50.8712396
1090,81,2982.8869564804086,4.3260903,50.8777634
1120,19,2986.5165414173875,4.3904888684211,50.89779605
1130,1,4391.891891891892,4.4125708732431,50.8919661
1140,60,3536.648478556039,4.4021602,50.8704524
1150,37,4494.290627544098,4.4432967,50.8292429
1160,38,4262.828237149078,4.4331389,50.8156571
1170,18,4193.344379490867,4.4158177,50.799394
1180,138,4159.804446806369,4.3372348,50.8018201
1190,50,3416.6547875459087,4.3177512,50.8091426
1200,66,4146.290623794142,4.4284842,50.8466928
1210,31,3563.1397110236735,4.3723364,50.8530739
1300,27,3085.9830224921648,4.607744,50.7164189
1301,5,2962.3985738115502,4.5894025,50.7111796
1310,6,4545.905221992179,4.4796542,50.7315053
1315,2,2258.25727944372,4.798944,50.6918004
1320,1,771.3178294573644,4.733891,50.7725266
1325,10,3533.4642824534503,4.6896145,50.7021372
1330,15,3342.6776967826227,4.5272896887008,50.7133548
1331,1,3619.0476190476193,4.5463113019639,50.73713045
1332,7,3559.3197031110694,4.4971389344121,50.72074495
1340,7,2867.253300482321,4.5690502,50.666357
1341,1,,4.5291742660159,50.6625713
1342,1,3382.608695652174,4.5549022761211,50.6851551
1348,9,4100.6240448152275,4.6141567317211,50.6741689
1350,9,2422.3259332902107,4.9370984,50.6610719
1357,2,1826.3794663048395,5.0030144,50.7322517
1360,7,2822.871819031734,4.7631073,50.6376269
1367,3,2551.1083743842364,4.9249295,50.6631583
1370,13,2353.1696753149,4.8203333,50.7016251
1380,16,3422.2546863351326,4.4825691512066,50.6628104
1390,20,3219.8833354659487,4.6702286,50.7516077
